Prognosis,Age,Rec1,Rec2,Rec3
Peptic Ulcer Disease,Adults,Take some flavonoids,Take antacids like gelusil,Consult your gastroenterologist
Peptic Ulcer Disease,Senior Citizens,Take some probiotics,Take proton pump inhibitors,Consult your gastroenterologist
Pneumonia,Children,Increase the fluid intake ,Take an antiviral medicine - levaquin,Consult your paediatrician
Pneumonia,Teenagers,Increase the fluid intake ,Take an antiviral medicine - amoxil,Consult your paediatrician
Pneumonia,Adults,Increase the fluid intake ,Take an antiviral medicine - avelox,Consult your lung specialist
Pneumonia,Senior Citizens,Increase the fluid intake ,Take an antiviral medicine - bactrim,Consult your respiratory therapist
Tuberculosis,Children,Take Isoniazid-Rifapentine ,Take daily dose of Rifampin,Consult your paediatrician
Tuberculosis,Teenagers,Take Isoniazid-Rifapentine ,Take Ethambutol,Consult your paediatrician
Tuberculosis,Adults,Take Isoniazid-Rifapentine ,Take Ethambutol,Consult your pulminologist
Tuberculosis,Senior Citizens,Take Isoniazid-Rifapentine ,Take Pyrazinamide,Consult your pulminologist
Typhoid,Children,Keep yourself hydrated,Take a paracetamol,Consult your paediatrician
Typhoid,Teenagers,Increase the fluid intake and use cold compresses,Take ciprofloxacin,Consult your paediatrician
Typhoid,Adults,Increase the fluid intake and use cold compresses,Take ceftriaxone,Consult your internist
Typhoid,Senior Citizens,Increase the fluid intake and drink ORS,Take chloramphenicol,Consult your geriatrician
